Data;Godzina;Krajowe zapotrzebowanie na moc;Suma zdolnoœci wytwórczych jednostek wytwórczych w KSE;Suma zdolnoœci wytwórczych JGWa;Suma zdolnoœci wytwórczych JGFWa;Suma zdolnoœci wytwórczych JGMa;Suma zdolnoœci wytwórczych JGPVa;Sumaryczna generacja JG aktywnych: JGWa, JGFWa, JGMa i JGPVa;Sumaryczna generacja JGWa;Sumaryczna generacja JGFWa;Sumaryczna generacja JGMa;Sumaryczna generacja JGPVa;Sumaryczna generacja jednostek wytwórczych nieuczestnicz¹cych aktywnie w Rynku Bilansuj¹cym;Generacja Ÿróde³ wiatrowych;Generacja Ÿróde³ fotowoltaicznych;Sumaryczna moc ³adowania JGMa;Krajowe saldo wymiany miêdzysystemowej równoleg³ej;Krajowe saldo wymiany miêdzysystemowej nierównoleg³ej;Rezerwa mocy ponad zapotrzebowanie;Rezerwa mocy poni¿ej zapotrzebowania;Suma mocy z wykorzystanych Ofert Redukcji Obci¹¿enia JGOa
2023-12-01;1;19354;27047;20451;-;0;-;12751;12751;-;0;-;6596;1109;0;716,00;142;588;6978;-1217;0
2023-12-01;2;18819;27026;20286;-;0;-;12383;12383;-;0;-;6740;1241;0;789,00;22;487;7360;-833;0
2023-12-01;3;18708;27007;20283;-;0;-;12627;12627;-;0;-;6724;1227;0;850,00;-375;466;6981;-1143;0
2023-12-01;4;18885;26750;20063;-;0;-;12729;12729;-;0;-;6687;1203;0;850,00;-182;426;6727;-1317;0
2023-12-01;5;19165;26687;20063;-;0;-;12450;12450;-;0;-;6624;1139;0;813,00;564;376;7143;-901;0
2023-12-01;6;20325;26717;20063;-;0;-;12942;12942;-;0;-;6654;1167;0;612,00;713;642;6681;-1405;0
2023-12-01;7;23177;27465;20768;-;0;-;14916;14916;-;0;-;6697;1146;0;87,00;1157;475;5379;-3412;0
2023-12-01;8;24992;27562;20768;-;0;-;17350;17350;-;0;-;6794;1092;19;0,00;1130;-320;2927;-5930;0
2023-12-01;9;26136;28846;21147;-;385;-;18737;18677;-;61;-;7314;1101;423;0,00;20;125;2076;-6731;0
2023-12-01;10;26441;29295;21155;-;552;-;18607;18497;-;110;-;7588;979;801;0,00;-312;524;2168;-6641;0
2023-12-01;11;26592;29250;20994;-;662;-;18675;18569;-;105;-;7594;835;932;0,00;-248;522;1921;-6723;0
2023-12-01;12;26640;29340;20905;-;688;-;18490;18433;-;57;-;7747;910;1063;0,00;-97;522;2040;-6512;0
2023-12-01;13;26607;29537;20900;-;943;-;18534;18492;-;42;-;7694;933;971;0,00;-147;506;1934;-6606;0
