Data;Godzina;Krajowe zapotrzebowanie na moc;Suma zdolnoœci wytwórczych jednostek wytwórczych w KSE;Suma zdolnoœci wytwórczych JGWa;Suma zdolnoœci wytwórczych JGFWa;Suma zdolnoœci wytwórczych JGMa;Suma zdolnoœci wytwórczych JGPVa;Sumaryczna generacja JG aktywnych: JGWa, JGFWa, JGMa i JGPVa;Sumaryczna generacja JGWa;Sumaryczna generacja JGFWa;Sumaryczna generacja JGMa;Sumaryczna generacja JGPVa;Sumaryczna generacja jednostek wytwórczych nieuczestnicz¹cych aktywnie w Rynku Bilansuj¹cym;Generacja Ÿróde³ wiatrowych;Generacja Ÿróde³ fotowoltaicznych;Sumaryczna moc ³adowania JGMa;Krajowe saldo wymiany miêdzysystemowej równoleg³ej;Krajowe saldo wymiany miêdzysystemowej nierównoleg³ej;Rezerwa mocy ponad zapotrzebowanie;Rezerwa mocy poni¿ej zapotrzebowania;Suma mocy z wykorzystanych Ofert Redukcji Obci¹¿enia JGOa
2023-02-01;1;17803;30942;18272;-;0;-;7187;7187;-;0;-;12670;7632;0;848,00;-752;-116;4482;-127;0
2023-02-01;2;17248;30654;17894;-;0;-;7236;7236;-;0;-;12760;7690;0;1234,00;-494;-146;5065;0;0
2023-02-01;3;17023;30664;17894;-;0;-;7281;7281;-;0;-;12770;7699;0;1370,00;-789;-164;4852;0;0
2023-02-01;4;17134;30695;17894;-;0;-;7296;7296;-;0;-;12801;7713;0;1366,00;-757;-212;4773;0;0
2023-02-01;5;17613;30631;17889;-;0;-;7379;7379;-;0;-;12742;7660;0;856,00;-926;-544;4320;-289;0
2023-02-01;6;18867;30701;17955;-;0;-;7756;7756;-;0;-;12746;7607;0;511,00;-454;-547;4279;-546;0
2023-02-01;7;21755;31746;18746;-;172;-;10049;9878;-;172;-;12828;7606;0;0,00;-786;-354;3247;-2606;0
2023-02-01;8;23161;31326;18329;-;38;-;10444;10406;-;38;-;12959;7667;25;0,00;-510;313;2952;-2675;0
2023-02-01;9;24192;31444;18269;-;122;-;11160;11038;-;122;-;13053;7572;200;0,00;-650;581;2672;-3277;0
2023-02-01;10;24435;32007;18689;-;176;-;11832;11690;-;142;-;13142;7390;481;0,00;-1078;579;2529;-3383;0
2023-02-01;11;24545;31995;18529;-;14;-;11370;11357;-;14;-;13452;7302;933;0,00;-863;579;2763;-2916;0
2023-02-01;12;24768;32313;18519;-;211;-;11523;11312;-;211;-;13583;7285;1136;0,00;-829;531;3125;-2729;0
2023-02-01;13;24706;32358;18563;-;211;-;11349;11138;-;211;-;13584;7268;1151;0,00;-439;370;3461;-2492;0
2023-02-01;14;24450;32347;18563;-;277;-;11066;10790;-;277;-;13507;7197;1130;0,00;-534;462;3704;-2249;0
2023-02-01;15;23926;31968;18599;-;342;-;11104;10762;-;342;-;13027;6960;863;0,00;-680;478;3720;-2238;0
2023-02-01;16;23769;30933;18224;-;342;-;11441;11099;-;342;-;12367;6712;367;0,00;-771;698;2920;-3080;0
2023-02-01;17;24185;30600;18189;-;942;-;12724;12053;-;670;-;11469;6191;3;0,00;-625;553;1900;-4018;0
2023-02-01;18;24541;30916;18417;-;1189;-;13265;12346;-;919;-;11310;5956;0;0,00;-461;382;1854;-4276;0
2023-02-01;19;24227;31113;18659;-;1197;-;13020;12304;-;716;-;11257;5979;0;0,00;-570;504;2167;-4166;0
2023-02-01;20;24103;31156;18749;-;1221;-;12847;12190;-;657;-;11186;5959;0;0,00;-652;696;2362;-4061;0
2023-02-01;21;23403;31128;18764;-;1195;-;12157;11645;-;512;-;11169;5964;0;0,00;-567;621;2925;-3589;0
2023-02-01;22;21876;30880;18834;-;850;-;10734;10698;-;36;-;11196;5981;0;11,00;-637;621;3991;-2588;0
2023-02-01;23;20553;30455;18043;-;1262;-;9373;9373;-;0;-;11150;5954;0;11,00;-661;592;3935;-1650;0
2023-02-01;24;19160;30127;18043;-;1063;-;8363;8363;-;0;-;11021;5863;0;122,00;-190;139;4654;-723;0
2023-02-02;1;17925;28366;17453;-;0;-;8192;8192;-;0;-;10913;5661;0;675,00;-633;211;4948;-498;0
2023-02-02;2;17416;28158;17453;-;0;-;8180;8180;-;0;-;10705;5454;0;1373,00;-230;102;4846;-607;0
2023-02-02;3;17322;27913;17453;-;0;-;8289;8289;-;0;-;10460;5211;0;1369,00;-234;157;4750;-696;0
2023-02-02;4;17325;27705;17453;-;0;-;8731;8731;-;0;-;10252;5002;0;1365,00;-375;119;4376;-1070;0
2023-02-02;5;17757;27561;17453;-;0;-;9161;9161;-;0;-;10108;4904;0;1300,00;-547;311;3957;-1489;0
2023-02-02;6;18862;27865;17453;-;0;-;9378;9378;-;0;-;10412;5174;0;817,00;-422;363;3981;-1465;0
2023-02-02;7;21649;28699;18244;-;0;-;11243;11243;-;0;-;10455;5183;0;0,00;-467;431;3349;-3073;0
2023-02-02;8;23072;28923;18174;-;67;-;12400;12400;-;0;-;10682;5370;0;0,00;-764;759;2486;-4045;0
2023-02-02;9;24333;29905;18645;-;527;-;13627;13502;-;125;-;10733;5296;102;0,00;-688;627;1964;-5089;0
2023-02-02;10;24216;29841;18349;-;345;-;13190;13086;-;105;-;11147;5378;411;0,00;-474;411;2278;-4433;0
2023-02-02;11;24075;30148;18514;-;0;-;12521;12521;-;0;-;11634;5583;745;0,00;-769;704;3075;-3900;0
2023-02-02;12;24415;30364;18504;-;0;-;12144;12144;-;0;-;11860;5492;1138;0,00;-438;875;3454;-3534;0
