Data;Godzina;RCE
20230501;1;474,64
20230501;2;439,59
20230501;3;420,44
20230501;4;411,61
20230501;5;411,45
20230501;6;413,39
20230501;7;407,36
20230501;8;374,21
20230501;9;314,97
20230501;10;229,95
20230501;11;177,21
20230501;12;122,27
20230501;13;117,01
20230501;14;103,11
20230501;15;98,14
20230501;16;137,26
20230501;17;261,06
20230501;18;405,84
20230501;19;507,85
20230501;20;554,86
20230501;21;560,36
20230501;22;538,94
20230501;23;500,44
20230501;24;463,91
20230502;1;425,46
20230502;2;378,09
20230502;3;360,50
20230502;4;346,80
20230502;5;354,73
20230502;6;396,98
20230502;7;489,44
20230502;8;541,24
20230502;9;564,07
20230502;10;513,82
20230502;11;479,34
20230502;12;458,90
20230502;13;446,20
20230502;14;451,88
20230502;15;457,96
20230502;16;428,08
20230502;17;425,69
20230502;18;461,40
20230502;19;545,86
20230502;20;581,13
20230502;21;626,48
20230502;22;591,79
20230502;23;569,88
20230502;24;527,13
20230503;1;527,91
20230503;2;488,66
20230503;3;481,21
20230503;4;490,68
20230503;5;491,06
20230503;6;488,04
20230503;7;551,53
20230503;8;583,04
20230503;9;557,19
20230503;10;482,91
20230503;11;422,44
20230503;12;391,86
20230503;13;374,38
20230503;14;365,19
20230503;15;371,72
20230503;16;381,90
20230503;17;448,61
20230503;18;468,48
20230503;19;558,51
20230503;20;609,29
20230503;21;683,11
20230503;22;598,01
20230503;23;561,99
20230503;24;535,04
20230504;1;542,24
20230504;2;532,35
20230504;3;532,28
20230504;4;533,01
20230504;5;546,06
20230504;6;553,21
20230504;7;592,91
20230504;8;592,79
20230504;9;556,92
20230504;10;486,55
20230504;11;423,28
20230504;12;376,96
20230504;13;375,41
20230504;14;380,01
20230504;15;394,44
20230504;16;420,11
20230504;17;462,43
20230504;18;537,92
20230504;19;594,98
20230504;20;635,70
20230504;21;684,20
20230504;22;597,94
20230504;23;558,94
20230504;24;506,49
20230505;1;513,44
20230505;2;515,50
20230505;3;517,76
20230505;4;512,84
20230505;5;519,20
20230505;6;511,31
20230505;7;544,46
20230505;8;538,32
20230505;9;520,27
20230505;10;449,17
20230505;11;402,62
20230505;12;375,44
20230505;13;360,73
20230505;14;356,19
20230505;15;352,40
20230505;16;357,86
20230505;17;408,64
20230505;18;462,03
20230505;19;540,22
20230505;20;558,15
20230505;21;562,60
20230505;22;552,54
20230505;23;530,01
20230505;24;473,15
20230506;1;457,66
20230506;2;427,97
20230506;3;413,90
20230506;4;406,26
20230506;5;403,57
20230506;6;407,39
20230506;7;429,20
20230506;8;445,03
20230506;9;431,97
20230506;10;415,32
20230506;11;403,45
20230506;12;422,60
20230506;13;421,87
20230506;14;425,88
20230506;15;426,18
20230506;16;442,23
20230506;17;462,12
20230506;18;499,89
20230506;19;504,55
20230506;20;528,87
20230506;21;537,99
20230506;22;517,95
20230506;23;479,84
20230506;24;443,00
20230507;1;430,17
20230507;2;410,44
20230507;3;387,22
20230507;4;388,37
20230507;5;387,68
20230507;6;377,97
20230507;7;379,47
20230507;8;379,73
20230507;9;377,97
20230507;10;335,42
20230507;11;293,25
20230507;12;248,22
20230507;13;234,29
20230507;14;234,27
20230507;15;234,21
20230507;16;250,04
20230507;17;304,82
20230507;18;429,63
20230507;19;439,25
20230507;20;484,88
20230507;21;503,26
20230507;22;485,12
20230507;23;461,37
20230507;24;440,37
20230508;1;476,02
20230508;2;465,98
20230508;3;465,86
20230508;4;476,14
20230508;5;494,91
20230508;6;516,19
20230508;7;548,61
20230508;8;557,63
20230508;9;536,45
20230508;10;475,24
20230508;11;398,88
20230508;12;364,88
20230508;13;363,25
20230508;14;359,03
20230508;15;371,11
20230508;16;429,14
20230508;17;474,83
20230508;18;545,42
20230508;19;564,07
20230508;20;593,37
20230508;21;610,75
20230508;22;562,35
20230508;23;523,05
20230508;24;459,00
20230509;1;501,39
20230509;2;470,10
20230509;3;470,05
20230509;4;470,20
20230509;5;481,61
20230509;6;491,54
20230509;7;527,44
20230509;8;537,53
20230509;9;514,70
20230509;10;447,61
20230509;11;370,42
20230509;12;323,35
20230509;13;297,55
20230509;14;274,39
20230509;15;283,72
20230509;16;345,92
20230509;17;378,51
20230509;18;455,57
20230509;19;529,68
20230509;20;553,27
20230509;21;561,46
20230509;22;527,23
20230509;23;493,25
20230509;24;432,73
20230510;1;420,20
20230510;2;395,86
20230510;3;383,53
20230510;4;378,10
20230510;5;385,58
20230510;6;413,80
20230510;7;449,90
20230510;8;447,13
20230510;9;428,19
20230510;10;426,01
20230510;11;370,12
20230510;12;289,41
20230510;13;287,06
20230510;14;297,99
20230510;15;301,73
20230510;16;336,85
20230510;17;401,39
20230510;18;473,41
20230510;19;538,60
20230510;20;551,82
20230510;21;549,89
20230510;22;544,35
20230510;23;531,72
20230510;24;467,73
20230511;1;442,17
20230511;2;433,37
20230511;3;429,74
20230511;4;430,99
20230511;5;433,92
20230511;6;455,18
20230511;7;495,87
20230511;8;496,47
20230511;9;466,03
20230511;10;472,73
20230511;11;358,41
20230511;12;352,28
20230511;13;353,84
20230511;14;385,63
20230511;15;396,65
20230511;16;399,81
20230511;17;450,77
20230511;18;534,08
20230511;19;558,10
20230511;20;564,43
20230511;21;585,66
20230511;22;558,93
20230511;23;519,67
20230511;24;453,99
20230512;1;443,56
20230512;2;430,21
20230512;3;427,42
20230512;4;427,76
20230512;5;429,79
20230512;6;435,08
20230512;7;493,11
20230512;8;521,20
20230512;9;480,56
20230512;10;472,34
20230512;11;381,05
20230512;12;329,33
20230512;13;296,38
20230512;14;294,32
20230512;15;291,26
20230512;16;309,75
20230512;17;375,73
20230512;18;433,77
20230512;19;506,86
20230512;20;565,10
